category,title,link,organiser,date,day,time,address
VISUAL ARTS,BreatheWater,https://www.esplanade.com/festivals-and-series/visual-arts/2022/breathewater?IsFree=1&Start=20220614,Parvathi Nayar (India),25 Mar – 24 Jul 2022,Fri – Sun,All Day,Theatre Street Cones
VISUAL ARTS,Friction of Distance,https://www.esplanade.com/festivals-and-series/visual-arts/2022/friction-of-distance?IsFree=1&Start=20220614,"Minkyung Choi, Jo Ho, Dina Mimi, Weixin Quek Chong (South Korea, Singapore, Palestine, Singapore)",13 May – 4 Sep 2022,Fri – Sun,All Day,Esplanade Tunnel
VISUAL ARTS,loop / pool,https://www.esplanade.com/festivals-and-series/visual-arts/2022/loop-pool?IsFree=1&Start=20220614,Huijun Lu (Singapore),13 May – 4 Sep 2022,Fri – Sun,All Day,"Community Wall, Level 3"
VISUAL ARTS,Sender of Wishes,https://www.esplanade.com/festivals-and-series/visual-arts/2022/sender-of-wishes?IsFree=1&Start=20220614,Gatot Indrajati (Indonesia),22 Dec 2021 – 10 Jul 2022,,All Day,Esplanade Concourse
ACTIVITY,Contemporary Performing Arts Research Residency Public Programmes,https://www.esplanade.com/events/2022/contemporary-performing-arts-research-residency-public-programmes?IsFree=1&Start=20220614,"Bertram Wee, Truong Que Chi, Keisha Thompson, Guy Cools, Zhang Yuan, Zai Tang, Meghna Bhardwaj, Sonja Jokiniemi, Daniel Kok, Transfield Studio (Rick Yamakawa and Yuko Takeda), Weixin Quek Chong, Astrid Sweeney (Singapore, Vietnam, United Kingdom, Belgium/Austria, China, United Kingdom/Singapore, India, Finland/Switzerland, Japan, Singapore/Spain, Denmark/Belgium and Ireland)",28 Apr – 28 Jun 2022,Thu – Tue,Various Timing,Various locations
VISUAL ARTS,Evolving Currents,https://www.esplanade.com/festivals-and-series/visual-arts/2022/evolving-currents?IsFree=1&Start=20220614,"Chu Hao Pei, Debbie Ding and Marvin Tang (Singapore)",13 May – 4 Sep 2022,Fri – Sun,"Mon – Fri: 11am – 8.30pm 
Sat, Sun and PH: 10am – 8.30pm",Jendela (Visual Arts Space)
VISUAL ARTS,Send a Wish,https://www.esplanade.com/events/2022/send-a-wish?IsFree=1&Start=20220614,Gatot Indrajati (Indonesia),26 Feb – 10 Jul 2022,,"11am, 2pm & 4.30pm",PIP's PLAYbox
MUSIC,The Being: Dua Diriku,https://www.esplanade.com/festivals-and-series/exchange/2022/the-being-dua-diriku?IsFree=1&Start=20220614,NAMIE and Muhd Sharul Mohd (Singapore),14-Jun-22,Tue,"7.15pm & 8.15pm*
*(8.15pm: Also livestreamed, available online until 21 Jun, Tue, 11.59pm)",Esplanade Concourse & Online
MUSIC,Common Thread: Words and Music with Jennifer Anne Champion and Anson Fung,https://www.esplanade.com/festivals-and-series/exchange/2022/common-thread-words-and-music-with-jennifer-anne-champion-and-anson-fung?IsFree=1&Start=20220614,(Singapore),15-Jun-22,Wed,7.15pm & 8.15pm,Esplanade Concourse
MUSIC,The Daydreamer,https://www.esplanade.com/festivals-and-series/exchange/2022/the-daydreamer?IsFree=1&Start=20220614,Bennett Bay x Krish Natarajan (Singapore),16 & 21 Jun 2022,Thu & Tue,"At Esplanade
7.15pm & 8.15pm

Online
Live stream on 21 Jun, Tue, 8.15pm
(Available online until 28 Jun, Tue, 11.59pm)",Esplanade Concourse & Online
VISUAL ARTS,Evolving Currents Artist Talk,https://www.esplanade.com/festivals-and-series/visual-arts/2022/evolving-currents-artist-talk?IsFree=1&Start=20220614,"Chu Hao Pei, Debbie Ding and Marvin Tang (Singapore)",16-Jun-22,Thu,8pm,"Online
(via Zoom)"
WORKSHOP,Castanets Workshop,https://www.esplanade.com/events/2022/castanets-workshop?IsFree=1&Start=20220614,My Piano Room (Singapore),"11 & 12, 17 – 19 Jun 2022",,"Fri: 2.30pm
Sat & Sun: 2.30pm & 4.45pm",PIP's PLAYbox
